Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress
Epic 1: Agentic Loop Architecture	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/1		Epic		0 / 2 (0%)
Epic 2: Intelligent GUI Design	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/2		Epic		0 / 2 (0%)
Epic 3: Multi-Source Scheduler	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/3		Epic		0 / 2 (0%)
Epic 4: Campus Encyclopedia (RAG)	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/4		Epic		0 / 2 (0%)
Epic 5: Study Copilot	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/5		Epic		0 / 2 (0%)
Epic 6: System-Level OS Automation	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/6		Epic		0 / 2 (0%)
Task 10.1 [Backend Tool Design] Develop the question generation logic (MCQs/True-False) based on extracted concept maps.	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/79		Todo		
Task 10.2 [Backend Database] Design the schema for storing generated quizzes and historical score tracking.	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/80		Todo		
Task 10.3 [Frontend] Create an interactive quiz interface for users to take tests and view instant results.	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/81		Todo		
Task 10.4 [QA] Fact-check generated quiz questions to ensure they are not hallucinated from the source material.	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/82		Todo		
Task 11.1 [Backend Architecture] Implement the "Dry Run" logic to preview renaming changes before system execution.	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/83		Todo		
Task 11.2 [Backend Tool Design] Develop the batch renaming engine using regex and AI-suggested naming rules.	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/84		Todo		
Task 11.3 [Frontend] Build a "Rename Previewer" UI showing the original vs. new filename list with checkboxes.	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/85		Todo		
Task 11.4 [QA] Test renaming safety on edge cases like duplicate names and hidden system files.	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/86		Todo		
Task 12.1 [Backend Tool Design] Create safe Python wrappers for OS-level file Create, Read, and Update operations.	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/87		Todo		
Task 12.2 [Backend Architecture] Integrate the US#4 (HITL) authorization interceptor specifically for Delete actions.	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/88		Todo		
Task 12.3 [Backend Database] Implement an "Audit Log" in PostgreSQL to record every file modification made by the Agent.	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/89		Todo		
Task 12.4 [QA] Conduct security tests to ensure the Agent cannot access files outside the designated workspace.	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/90		Todo		
Task 12.5 [DOCS] Document the error handling and rollback strategy for file system operations.	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/91		Todo		
Epic 7: Client-Server Architecture	https://github.com/sustech-cs304/team-project-26spring-26s-13/issues/92		Epic		
